epoch: 0	train ppl: 44861.778226376184	val ppl: 3560.9028045207156	best val: 3560.9028045207156	time (s) spent in epoch: 89.57490730285645
epoch: 1	train ppl: 1167.4862725959165	val ppl: 595.5897346213853	best val: 595.5897346213853	time (s) spent in epoch: 88.67059755325317
epoch: 2	train ppl: 522.1964650354575	val ppl: 411.2106743540728	best val: 411.2106743540728	time (s) spent in epoch: 89.33933568000793
epoch: 3	train ppl: 386.9563878886567	val ppl: 393.60996351795933	best val: 393.60996351795933	time (s) spent in epoch: 89.10953640937805
epoch: 4	train ppl: 307.7375869749764	val ppl: 277.6659231308665	best val: 277.6659231308665	time (s) spent in epoch: 90.1639792919159
epoch: 5	train ppl: 246.67565080939414	val ppl: 258.67378705841867	best val: 258.67378705841867	time (s) spent in epoch: 88.68988513946533
epoch: 6	train ppl: 203.5240002903565	val ppl: 213.73769026597736	best val: 213.73769026597736	time (s) spent in epoch: 89.02531838417053
epoch: 7	train ppl: 173.30237905875182	val ppl: 227.05063271220527	best val: 213.73769026597736	time (s) spent in epoch: 89.024733543396
epoch: 8	train ppl: 153.4516083607032	val ppl: 203.33992659515712	best val: 203.33992659515712	time (s) spent in epoch: 89.2410888671875
epoch: 9	train ppl: 135.17073452717352	val ppl: 174.21713693700121	best val: 174.21713693700121	time (s) spent in epoch: 88.91750836372375
epoch: 10	train ppl: 122.69035791325147	val ppl: 177.86441028869993	best val: 174.21713693700121	time (s) spent in epoch: 88.98695349693298
epoch: 11	train ppl: 110.67226986817565	val ppl: 183.98447193029594	best val: 174.21713693700121	time (s) spent in epoch: 88.39240217208862
epoch: 12	train ppl: 102.38828732162698	val ppl: 167.92000881080958	best val: 167.92000881080958	time (s) spent in epoch: 88.66275644302368
epoch: 13	train ppl: 93.66087493535335	val ppl: 184.52717034325025	best val: 167.92000881080958	time (s) spent in epoch: 88.50279903411865
epoch: 14	train ppl: 85.87544565686424	val ppl: 184.80179461643084	best val: 167.92000881080958	time (s) spent in epoch: 88.7735812664032
epoch: 15	train ppl: 69.49438496563262	val ppl: 164.29805207955178	best val: 164.29805207955178	time (s) spent in epoch: 89.02496457099915
epoch: 16	train ppl: 55.927093782604494	val ppl: 163.49243617020701	best val: 163.49243617020701	time (s) spent in epoch: 89.07570672035217
epoch: 17	train ppl: 45.37658096360312	val ppl: 165.3071010669343	best val: 163.49243617020701	time (s) spent in epoch: 89.06561923027039
epoch: 18	train ppl: 38.461862117202955	val ppl: 175.82765844038633	best val: 163.49243617020701	time (s) spent in epoch: 89.23467445373535
epoch: 19	train ppl: 34.41152044258116	val ppl: 181.53964389523074	best val: 163.49243617020701	time (s) spent in epoch: 88.31652021408081
epoch: 20	train ppl: 32.20377721572069	val ppl: 185.1819523854895	best val: 163.49243617020701	time (s) spent in epoch: 88.65439939498901
epoch: 21	train ppl: 31.20112238149665	val ppl: 185.1414326755699	best val: 163.49243617020701	time (s) spent in epoch: 89.34434008598328
epoch: 22	train ppl: 30.74456466965614	val ppl: 182.8498585373791	best val: 163.49243617020701	time (s) spent in epoch: 88.7815568447113
epoch: 23	train ppl: 30.5166344619857	val ppl: 181.18426631306986	best val: 163.49243617020701	time (s) spent in epoch: 88.61715912818909
epoch: 24	train ppl: 30.487274958307843	val ppl: 180.75637465690048	best val: 163.49243617020701	time (s) spent in epoch: 88.12193179130554
epoch: 25	train ppl: 30.468173088472064	val ppl: 180.67424372454627	best val: 163.49243617020701	time (s) spent in epoch: 88.52256751060486
epoch: 26	train ppl: 30.476402232544654	val ppl: 180.65777402208394	best val: 163.49243617020701	time (s) spent in epoch: 88.4575355052948
epoch: 27	train ppl: 30.45939018174352	val ppl: 180.65554658932112	best val: 163.49243617020701	time (s) spent in epoch: 88.34540152549744
epoch: 28	train ppl: 30.441859894893955	val ppl: 180.6553404608819	best val: 163.49243617020701	time (s) spent in epoch: 88.9805428981781
epoch: 29	train ppl: 30.47252712391798	val ppl: 180.65533738433982	best val: 163.49243617020701	time (s) spent in epoch: 89.21301126480103
epoch: 30	train ppl: 30.40644148474127	val ppl: 180.6553496905084	best val: 163.49243617020701	time (s) spent in epoch: 88.68842720985413
epoch: 31	train ppl: 30.45687060270179	val ppl: 180.65534353742402	best val: 163.49243617020701	time (s) spent in epoch: 89.29694986343384
epoch: 32	train ppl: 30.455162841607905	val ppl: 180.65534353742402	best val: 163.49243617020701	time (s) spent in epoch: 88.21889114379883
epoch: 33	train ppl: 30.492283306258358	val ppl: 180.65534353742402	best val: 163.49243617020701	time (s) spent in epoch: 88.55592489242554
epoch: 34	train ppl: 30.48770818186414	val ppl: 180.65534353742402	best val: 163.49243617020701	time (s) spent in epoch: 88.01291108131409
epoch: 35	train ppl: 30.490571657031392	val ppl: 180.65534353742402	best val: 163.49243617020701	time (s) spent in epoch: 89.42968201637268
epoch: 36	train ppl: 30.462177449291755	val ppl: 180.65534353742402	best val: 163.49243617020701	time (s) spent in epoch: 88.47753286361694
epoch: 37	train ppl: 30.449816958110677	val ppl: 180.65534353742402	best val: 163.49243617020701	time (s) spent in epoch: 88.22025179862976
epoch: 38	train ppl: 30.47062097482969	val ppl: 180.65534353742402	best val: 163.49243617020701	time (s) spent in epoch: 88.91276597976685
epoch: 39	train ppl: 30.487344882395902	val ppl: 180.65534353742402	best val: 163.49243617020701	time (s) spent in epoch: 88.93259644508362
