model,optimizer,initial_lr,batch_size,seq_len,hidden_size,num_layers,dp_keep_prob,avg_wct,train_val,val_ppl
GRU,ADAM,0.0001,20,35,1500,2,0.35,155.59,73.86,111.49
GRU,SGD,10,20,35,1500,2,0.35,145.03,68.79,112.06
RNN,SGD,0.0001,20,35,1500,2,0.35,80.68,3008.12,2209.92
RNN,SGD_LR_SCHEDULE,1,20,35,512,2,0.35,48.62,230.78,196.19
TRANSFORMER,ADAM,0.001,128,35,512,2,.9,30.13,69.57,136.22
TRANSFORMER,SGD,20,128,35,512,6,.9,61.67,79.57,161.59
