model,optimizer,initial_lr,batch_size,seq_len,hidden_size,num_layers,dp_keep_prob,avg_wct,train_val,val_ppl
GRU,SGD_LR_SCHEDULE,10,20,35,1500,2,0.35,148.09,65.72,102.38
RNN,ADAM,0.0001,20,35,1500,2,0.35,84.58,121.74,156.41
TRANSFORMER,SGD_LR_SCHEDULE,20,128,35,512,6,0.9,62.34,65.83,145.42
